"filename", "language", "Java", "Markdown", "comment", "blank", "total"
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Attendees.java", "Java", 59, 0, 0, 13, 72
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Camp.class", "Java", 49, 0, 0, 0, 49
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Camp.java", "Java", 198, 0, 18, 55, 271
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\CampCommiteeMember.class", "Java", 7, 0, 0, 0, 7
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\CampCommiteeMember.java", "Java", 12, 0, 1, 7, 20
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\CampCommiteeMembers.java", "Java", 53, 0, 0, 13, 66
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\CampList.java", "Java", 114, 0, 0, 29, 143
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Enquiry.java", "Java", 43, 0, 3, 13, 59
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\EnquiryList.java", "Java", 53, 0, 6, 12, 71
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\EnquiryResponse.class", "Java", 14, 0, 0, 0, 14
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\EnquiryResponse.java", "Java", 37, 0, 1, 10, 48
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\EnquiryResponseList.java", "Java", 44, 0, 1, 11, 56
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Interface\ICampInformation.java", "Java", 14, 0, 0, 4, 18
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\PerformanceReport.java", "Java", 2, 0, 1, 1, 4
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\PermissionList.java", "Java", 61, 0, 3, 12, 76
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Report.java", "Java", 3, 0, 0, 3, 6
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\ReportList.java", "Java", 8, 0, 0, 4, 12
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Staff.class", "Java", 14, 0, 0, 0, 14
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Staff.java", "Java", 27, 0, 2, 12, 41
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Student.class", "Java", 27, 0, 0, 0, 27
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Student.java", "Java", 43, 0, 8, 19, 70
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\StudentEnquiryReport.java", "Java", 3, 0, 1, 2, 6
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Suggestion.class", "Java", 13, 0, 0, 0, 13
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Suggestion.java", "Java", 28, 0, 0, 12, 40
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\SuggestionList.class", "Java", 29, 0, 0, 0, 29
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\SuggestionList.java", "Java", 98, 0, 2, 16, 116
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Token.java", "Java", 27, 0, 1, 7, 35
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\README.md", "Markdown", 0, 2, 0, 2, 4
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Utils\DatabaseUtils.java", "Java", 416, 0, 4, 69, 489
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Utils\InputUtils.java", "Java", 175, 0, 2, 13, 190
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Utils\PageUtils.java", "Java", 185, 0, 0, 44, 229
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Utils\ReportUtils.java", "Java", 12, 0, 0, 5, 17
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Utils\ThemeUtils.java", "Java", 13, 0, 0, 3, 16
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Apps\HomeView.java", "Java", 56, 0, 1, 19, 76
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Apps\ProfileView.java", "Java", 60, 0, 3, 7, 70
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Authentications\LoginView.java", "Java", 69, 0, 3, 12, 84
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampCreateView.java", "Java", 17, 0, 2, 4, 23
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampDeregisterView.java", "Java", 17, 0, 2, 4, 23
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampEditView.java", "Java", 17, 0, 2, 6, 25
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampListStaffMenuView.java", "Java", 147, 0, 1, 22, 170
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampListView.java", "Java", 190, 0, 2, 18, 210
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampRegisterView.java", "Java", 17, 0, 2, 6, 25
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampView.java", "Java", 163, 0, 3, 17, 183
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\RegisterCampStatusView.java", "Java", 17, 0, 2, 5, 24
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Enquiries\EnquiryCreateView.java", "Java", 22, 0, 1, 6, 29
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Enquiries\EnquiryEditView.java", "Java", 21, 0, 1, 6, 28
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Enquiries\EnquiryListView.java", "Java", 56, 0, 1, 11, 68
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Enquiries\EnquiryReplyView.java", "Java", 21, 0, 1, 8, 30
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Enquiries\EnquiryView.java", "Java", 92, 0, 1, 12, 105
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Interfaces\IView.java", "Java", 6, 0, 0, 3, 9
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Suggestions\SuggestionApproveView.java", "Java", 22, 0, 2, 8, 32
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Suggestions\SuggestionCreateView.java", "Java", 22, 0, 2, 7, 31
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Suggestions\SuggestionDeleteView.java", "Java", 22, 0, 2, 8, 32
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Suggestions\SuggestionEditView.java", "Java", 22, 0, 2, 9, 33
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Suggestions\SuggestionListView.java", "Java", 78, 0, 5, 13, 96
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Suggestions\SuggestionView.java", "Java", 52, 0, 6, 11, 69
"Total", "-", 3539, 2, 144, 730, 4415
