Date : 2023-11-18 21:33:32
Directory : c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment
Total : 71 files,  3541 codes, 144 comments, 730 blanks, all 4415 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Utils\InputUtils.java                         | Java     |        175 |          2 |         13 |        190 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Utils\PageUtils.java                          | Java     |        185 |          0 |         44 |        229 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Utils\ReportUtils.java                        | Java     |         12 |          0 |          5 |         17 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Utils\ThemeUtils.java                         | Java     |         13 |          0 |          3 |         16 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Apps\HomeView.java                      | Java     |         56 |          1 |         19 |         76 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Apps\ProfileView.java                   | Java     |         60 |          3 |          7 |         70 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Authentications\LoginView.java          | Java     |         69 |          3 |         12 |         84 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampCreateView.java               | Java     |         17 |          2 |          4 |         23 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampDeregisterView.java           | Java     |         17 |          2 |          4 |         23 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampEditView.java                 | Java     |         17 |          2 |          6 |         25 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampListStaffMenuView.java        | Java     |        147 |          1 |         22 |        170 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampListView.java                 | Java     |        190 |          2 |         18 |        210 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampRegisterView.java             | Java     |         17 |          2 |          6 |         25 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampView.java                     | Java     |        163 |          3 |         17 |        183 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\RegisterCampStatusView.java       | Java     |         17 |          2 |          5 |         24 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Enquiries\EnquiryCreateView.java        | Java     |         22 |          1 |          6 |         29 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Enquiries\EnquiryEditView.java          | Java     |         21 |          1 |          6 |         28 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Enquiries\EnquiryListView.java          | Java     |         56 |          1 |         11 |         68 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Enquiries\EnquiryReplyView.java         | Java     |         21 |          1 |          8 |         30 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Enquiries\EnquiryView.java              | Java     |         92 |          1 |         12 |        105 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Interfaces\IView.java                   | Java     |          6 |          0 |          3 |          9 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Suggestions\SuggestionApproveView.java  | Java     |         22 |          2 |          8 |         32 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Suggestions\SuggestionCreateView.java   | Java     |         22 |          2 |          7 |         31 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Suggestions\SuggestionDeleteView.java   | Java     |         22 |          2 |          8 |         32 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Suggestions\SuggestionEditView.java     | Java     |         22 |          2 |          9 |         33 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Suggestions\SuggestionListView.java     | Java     |         78 |          5 |         13 |         96 |
| c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Suggestions\SuggestionView.java         | Java     |         52 |          6 |         11 |         69 |
| Total                                                                                                        |          |      3,541 |        144 |        730 |      4,415 |
+--------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
